Wisconsin,wisconsin
Notre Dame,notredame
Penn State,pennstate
Georgia,georgia
Miami FL,miami
Alabama,alabama
Ohio State,ohiostate
Clemson,clemson
Auburn,auburn
Central Florida,ucf
Oklahoma,oklahoma
TCU,tcu
Washington,washington
Michigan,michigan
Iowa,iowa
Southern Cal,usc
Mississippi St,mississippistate
Wake Forest,wakeforest
Oklahoma St,oklahomastate
Michigan St,michiganstate
Virginia Tech,virginiatech
North Carolina St,ncstate
Northwestern,northwestern
LSU,lsu
Boise St,boisestate
Iowa St,iowastate
Washington St,washingtonstate
Purdue,purdue
Stanford,stanford
Memphis,memphis
Louisville,louisville
Boston College,bostoncollege
Georgia Tech,georgiatech
Texas,texas
South Carolina,southcarolina
West Virginia,westvirginia
Florida Atlantic,fau
South Florida,usf
Navy,navy
Florida St,floridastate
Missouri,missouri
Toledo,toledo
Oregon,oregon
Texas A&M,texasam
San Diego St,sandiegostate
Arizona,arizona
Duke,duke
Indiana,indiana
Northern Illinois,northernillinois
Arizona St,arizonastate
Minnesota,minnesota
SMU,smu
Kansas St,kansasstate
Syracuse,syracuse
Nebraska,nebraska
Fresno St,fresnostate
Utah,utah
Ohio U.,ohio
Kentucky,kentucky
Houston,houston
Florida,florida
Troy,troy
Virginia,virginia
Texas Tech,texastech
Army,army
UCLA,ucla
Mississippi,olemiss
Maryland,maryland
Wyoming,wyoming
California,california
Utah St,utahstate
Colorado St,coloradostate
Colorado,colorado
Western Michigan,westernmichigan
Pittsburgh,pittsburgh
Marshall,marshall
North Carolina,northcarolina
Rutgers,rutgers
Tennessee,tennessee
North Texas,northtexas
Arkansas St,arkansasstate
Tulane,tulane
Akron,akron
Arkansas,arkansas
Eastern Michigan,easternmichigan
Buffalo,buffalo
Temple,temple
Central Michigan,centralmichigan
Vanderbilt,vanderbilt
Appalachian St,appalachianstate
Texas-San Antonio,utsa
Air Force,airforce
Miami OH,miamioh
Southern Miss,southernmiss
Tulsa,tulsa
Louisiana Tech,louisianatech
Baylor,baylor
Illinois,illinois
UNLV,unlv
Alabama-Birmingham,uab
Massachusetts,umass
Brigham Young,byu
Florida Int'l,fiu
Western Kentucky,wku
New Mexico,newmexico
Middle Tennessee St,middletennessee
Georgia St,georgiastate
Louisiana-Monroe,ulm
Nevada,nevada
Cincinnati,cincinnati
New Mexico St,newmexicostate
Connecticut,connecticut
South Alabama,southalabama
East Carolina,eastcarolina
Old Dominion,olddominion
Oregon St,oregonstate
Idaho,idaho
Bowling Green,bowlinggreen
Kansas,kansas
Hawai`i,hawaii
Louisiana-Lafayette,louisiana
Kent St,kentstate
Georgia Southern,georgiasouthern
Ball St,ballstate
Coastal Carolina,coastalcarolina
Rice,rice
Texas St-San Marcos,texasstate
San José St,sanjosestate
UNC-Charlotte,charlotte
UTEP,utep
Liberty,liberty
CFB,cfb
